ISSUE_ID,PRIORITY,STATUS,RESOLUTION,CREATION_DATE,CONTEXT
LUCENE-7674,Major,Open,Unresolved,02/Feb/17 21:23,"java.lang.IllegalStateException: Child query must not match same docs with parent filter. Combine them as must clauses (+) to find a problem doc. docId=2147483647, class org.apache.lucene.search.ConjunctionScorer"
LUCENE-7676,Minor,Resolved,Fixed,06/Feb/17 14:31,FilterCodecReader to override more super-class methods
LUCENE-7679,Major,Closed,Fixed,07/Feb/17 10:30,MemoryIndex.addField() ignores some FieldType settings
LUCENE-7682,Major,Open,Unresolved,07/Feb/17 18:41,UnifiedHighlighter not highlighting all terms relevant in SpanNearQuery
LUCENE-7683,Minor,Open,Unresolved,08/Feb/17 18:22,FilterScorer to override more super-class methods
LUCENE-7685,Minor,Closed,Fixed,10/Feb/17 11:03,Remove equals/rewrite hacks from block join queries
LUCENE-7687,Major,Open,Unresolved,10/Feb/17 12:09,ComplexPhraseQueryParser with AsciiFoldingFilterFactory (SOLR)
LUCENE-7690,Major,Closed,Fixed,11/Feb/17 15:22,TestSimpleTextPointsFormat.testWithExceptions() failure
LUCENE-7695,Major,Closed,Fixed,15/Feb/17 12:38,Unknown query type SynonymQuery in ComplexPhraseQueryParser
LUCENE-7698,Blocker,Resolved,Fixed,17/Feb/17 08:47,CommonGramsQueryFilter in the query analyzer chain breaks phrase queries
LUCENE-7704,Minor,Closed,Fixed,22/Feb/17 18:23,SysnonymGraphFilter doesn't respect ignoreCase parameter
LUCENE-7708,Major,Closed,Fixed,24/Feb/17 11:43,Track PositionLengthAttribute abuse
LUCENE-7711,Major,Open,Unresolved,24/Feb/17 19:45,"TestRandomChains.testRandomChains() failure: got startOffset=10,endOffset=9"
LUCENE-7715,Minor,Closed,Fixed,27/Feb/17 19:41,Simplify NearSpansUnordered
LUCENE-7717,Major,Closed,Fixed,28/Feb/17 11:15,UnifiedHighlighter doesn't highlight PrefixQuery with multi-byte chars
LUCENE-7718,Minor,Resolved,Fixed,28/Feb/17 15:51,buildAndPushRelease.py script should refer to working tree instead of directory
LUCENE-7719,Minor,Resolved,Fixed,01/Mar/17 07:00,UnifiedHighlighter doesn't handle some AutomatonQuery's with multi-byte chars
LUCENE-7724,Major,Open,Unresolved,01/Mar/17 17:09,TestIndexWriterExceptions.testNoLostDeletesOrUpdates() failure
LUCENE-7726,Major,Closed,Fixed,01/Mar/17 22:20,Fix Javadocs HTML entity bugs
LUCENE-7728,Major,Open,Unresolved,02/Mar/17 03:30,TestGrouping.testRandom() failures
LUCENE-7731,Trivial,Resolved,Fixed,03/Mar/17 12:40,spelling mistake in search/package-summary.html#scoring javadocs
LUCENE-7735,Minor,Open,Unresolved,09/Mar/17 22:20,Suffix compression for points
LUCENE-7749,Minor,Closed,Fixed,21/Mar/17 09:41,IndexOrDocValuesQuery not working with LRUQueryCache (?)
LUCENE-7755,Major,Closed,Fixed,28/Mar/17 12:58,Join queries should not reference IndexReaders.
LUCENE-7757,Major,Open,Unresolved,16/Mar/17 21:34,Unified highlighter does not highlight wildcard phrases correctly when ComplexPhraseQueryParser is used
LUCENE-7758,Major,Open,Unresolved,29/Mar/17 23:10,EdgeNGramTokenFilter breaks highlighting by keeping end offsets of original tokens
LUCENE-7759,Major,Open,Unresolved,30/Mar/17 08:57,"TestBackwardsCompatibility only test sorted indexes created by 6.2.1, 6.2.1 and 6.3.0"
LUCENE-7760,Major,Closed,Fixed,30/Mar/17 09:58,StandardAnalyzer/Tokenizer.setMaxTokenLength's javadocs are lying
LUCENE-7761,Trivial,Closed,Fixed,30/Mar/17 13:47,Typo in comment in ReqExclScorer
LUCENE-7766,Major,Open,Unresolved,03/Apr/17 17:55,WordDelimiter(Graph)Filter does not handle split offsets after HTMLStripCharFilter correctly
LUCENE-7767,Major,Resolved,Fixed,05/Apr/17 12:23,SortedDocValues.ordValue() should throw in IOException
LUCENE-7769,Major,Closed,Fixed,07/Apr/17 08:27,UnifiedHighlighter doesn't highlight MTQs wrapped in BoostQuery
LUCENE-7775,Trivial,Closed,Fixed,10/Apr/17 20:35,Throwable not processed
LUCENE-7777,Major,Closed,Fixed,11/Apr/17 13:35,ByteBlockPool.readBytes incorrectly throws AIOOBE if length > 32768
LUCENE-7779,Major,Closed,Fixed,11/Apr/17 19:43,OfflineSorter should not call ByteSequencesReader.next again after it returns null
LUCENE-7780,Minor,Resolved,Fixed,12/Apr/17 07:09,Remove TermValComparator.isNull
LUCENE-7783,Minor,Resolved,Fixed,13/Apr/17 07:40,MemoryIndex throws an exception when getting points on a missing field
LUCENE-7791,Major,Closed,Fixed,20/Apr/17 10:39,AIOOBE on flush+sort
LUCENE-7793,Major,Closed,Fixed,20/Apr/17 19:17,smokeTestRelease.py should run documentation-lint
LUCENE-7794,Major,Closed,Fixed,20/Apr/17 19:21,buildAndPushRelease.py should run precommit (or the equivalent)
LUCENE-7795,Major,Open,Unresolved,20/Apr/17 21:15,WordDelimiterFilter produces invalid offsets in single word case
LUCENE-7797,Minor,Closed,Fixed,21/Apr/17 08:17,FSDirectory.listAll will always return empty array
LUCENE-7799,Major,Open,Unresolved,21/Apr/17 23:27,Classic query parser should allow autoGeneratePhraseQueries=true when splitOnWhitespace=false
LUCENE-7803,Minor,Closed,Not A Problem,25/Apr/17 13:10,Problem using FunctionScoreQuery and Highlighting
LUCENE-7805,Major,Open,Unresolved,25/Apr/17 15:12,TestRandomChains.testRandomChainsWithLargeStrings() failures
LUCENE-7807,Major,Closed,Fixed,26/Apr/17 14:21,Test*RangeFieldQueries.testRandomBig() and .testRandomTiny() failures
LUCENE-7808,Major,Closed,Fixed,26/Apr/17 23:58,PayloadScoreQuery and SpanPayloadCheckQuery have incomplete .equals and .hashCode methods
